==== [Login] ==================================================================
 Newb has logged in ~ @Kugnae(0)
 0 gold.
 0 experience.
 0 karma.
 IP: 192.168.56.1
Date & Time : Wed Oct  7 20:47:43 2020
<Wed Oct  7 20:49:38 2020> Gained 11 from Squirrel | @Deep Forest (4714)
<Wed Oct  7 20:49:41 2020> Gained 11 from Squirrel | @Deep Forest (4714)
<Wed Oct  7 20:49:48 2020> Gained 5 from Rabbit | @Deep Forest (4714)
<Wed Oct  7 20:50:39 2020> Gained 11 from Squirrel | @Deep Forest (4714)
<Wed Oct  7 20:50:49 2020> Gained 11 from Squirrel | @Deep Forest (4714)
<Wed Oct  7 21:03:30 2020> Gained 11 from Squirrel | @Deep Forest (4714)
<Wed Oct  7 21:03:38 2020> Gained 5 from Rabbit | @Deep Forest (4714)
<Wed Oct  7 21:03:42 2020> Gained 5 from Rabbit | @Deep Forest (4714)
<Wed Oct  7 21:03:43 2020> Gained 11 from Squirrel | @Deep Forest (4714)
<Wed Oct  7 21:03:58 2020> Gained 11 from Squirrel | @Deep Forest (4714)
<Wed Oct  7 21:04:09 2020> Gained 11 from Squirrel | @Deep Forest (4714)
<Wed Oct  7 21:05:19 2020> Gained 5 from Rabbit | @Deep Forest (4714)
<Wed Oct  7 21:05:25 2020> Gained 11 from Squirrel | @Deep Forest (4714)
<Wed Oct  7 21:05:41 2020> Gained 5 from Rabbit | @Deep Forest (4714)
<Wed Oct  7 21:05:46 2020> Gained 11 from Squirrel | @Deep Forest (4714)
<Wed Oct  7 21:05:48 2020> Gained 5 from Rabbit | @Deep Forest (4714)
<Wed Oct  7 21:06:06 2020> Gained 5 from Rabbit | @Deep Forest (4714)
<Wed Oct  7 21:06:08 2020> Gained 5 from Rabbit | @Deep Forest (4714)
<Wed Oct  7 21:06:15 2020> Gained 11 from Squirrel | @Deep Forest (4714)
<Wed Oct  7 21:06:18 2020> Gained 11 from Squirrel | @Deep Forest (4714)
<Wed Oct  7 21:06:27 2020> Gained 11 from Squirrel | @Deep Forest (4714)
<Wed Oct  7 21:06:30 2020> Gained 11 from Squirrel | @Deep Forest (4714)
