//monster id 257 & 258
//boss id 981
wilderness, 499, 493, 2200, 14, 27
wilderness, 500, 493, 2200, 15, 27

2200, 13, 28, wilderness, 499, 494
2200, 14, 28, wilderness, 499, 494
2200, 15, 28, wilderness, 500, 494
2200, 16, 28, wilderness, 500, 494
2200, 3, 10, 2201, 9, 48
2200, 26, 10, 2201, 35, 48
2200, 14, 8, 2201, 9, 11
2200, 15, 8, 2201, 10, 11

2201, 9, 12, 2200, 14, 9
2201, 10, 12, 2200, 15, 9
2201, 2, 17, 2202, 32, 10
2201, 3, 17, 2202, 32, 10
2201, 4, 17, 2202, 33, 10
2201, 8, 49, 2200, 3, 11
2201, 9, 49, 2200, 3, 11
2201, 35, 49, 2200, 26, 11
2201, 36, 49, 2200, 26, 11
2201, 35, 18, 2202, 4, 11
2201, 36, 18, 2202, 4, 11

2202, 32, 9, 2201, 3, 16
2202, 33, 9, 2201, 4, 16
2202, 4, 10, 2201, 36, 17
2202, 5, 45, 2203, 51, 6
2202, 6, 45, 2203, 51, 6

2203, 51, 5, 2202, 6, 44
2203, 4, 39, 2204, 19, 43
2203, 5, 39, 2204, 19, 43
2203, 26, 9, 2206, 2, 19
2203, 27, 9, 2206, 3, 19

2204, 19, 42, 2203, 5, 38
2204, 12, 21, 2205, 22, 38
2204, 13, 21, 2205, 23, 38
2204, 12, 8, 2207, 3, 32
2204, 13, 8, 2207, 4, 32

2205, 22, 39, 2204, 12, 22
2205, 23, 39, 2204, 13, 22

2206, 2, 20, 2203, 26, 10
2206, 3, 20, 2203, 27, 10

2207, 3, 33, 2204, 12, 9
2207, 4, 33, 2204, 13, 9
2207, 8, 9, wilderness, 499, 490
2207, 9, 9, wilderness, 500, 490
